"學期
Semester","課號
CourseID","課名
Course Title","教師
Instructor","選課人數
Enrollment Count","平均GPA
Average GPA","標準差
Standard Deviation",course,instructor_ref
109下,ASTR 620000,"天文輻射物理
Astrophysical Radiative Processes","賴詩萍LAI, SHIH-PING",10,4.06,0.26,ASTR6200,3608435433338057665738372737280737871
109下,ASTR 660000,"計算天文物理
Computational Astrophysics","潘國全PAN, KUO-CHUAN",8,3.6,1.06,ASTR6600,2850422283208408065787585796772856578
109下,ASTR 670000,"電漿天文物理與磁流體動力學
Plasma Astrophysics and Magnetohydrodynamics",廣谷幸一HIROTANI KOICHI,6,3.82,0.42,ASTR6700,242913589524184199687273827984657873757973677273
109下,BME 400100,"專題研究
Undergraduate Research",指導教授,7,4.26,0.11,BME4001,25351235662594525480
109下,BME 500400,"書報討論
Seminar","黃玠誠HUANG, CHIEH-CHENG",26,4.01,0.27,BME5004,406432960035488728565787167727369726772697871
109下,BME 500500,"奈米材料化學
Nanomaterial Chemistry","萬德輝WAN, DE-HUI",5,3.86,0.34,BME5005,3383624503366378765786869728573
109下,BME 501400,"癌症奈米科技
Cancer Nanotechnology","陳韻晶CHEN, YUN-CHING",8,4.15,0.15,BME5014,385153890726230677269788985786772737871
109下,BME 501500,"生物醫學技術
Techniques in Biology and Medicine","陳韻晶CHEN, YUN-CHING",25,4.1,0.18,BME5015,385153890726230677269788985786772737871
109下,BME 502000,"無機材料與工程
Inorganic Materials and Engineering","萬德輝WAN, DE-HUI",4,4.08,0.13,BME5020,3383624503366378765786869728573
109下,BME 502500,"生物分析化學
Bioanalytical Chemistry","林宗宏LIN, ZONG-HONG",13,3.95,0.41,BME5025,2651923447234397673789079787172797871
109下,BME 503100,"重點照護檢驗
Point-of-Care Diagnostics","鄭兆珉CHENG, CHAO-MIN",4,4.3,0.0,BME5031,371652080629641677269787167726579777378
109下,BME 503200,"再生醫學與組織工程
Regenerative medicine and tissue engineering","黃玠誠HUANG, CHIEH-CHENG",16,3.98,1.03,BME5032,406432960035488728565787167727369726772697871
109下,BME 503400,"分子生醫影像導論
Introduction to Molecular Imaging","魯才德LU, TSAI-TE",20,3.78,0.67,BME5034,3979125165245037685848365738469
109下,BME 503500,"醫療器材進階法規實作練習
Workshop Practice on Medical Device Regulations","王明哲WANG, MING-CHE",12,4.3,0.0,BME5035,2957926126217468765787177737871677269
109下,BME 504300,"磁性生醫材料
Magnetic Biomaterial","魯才德LU, TSAI-TE",4,4.3,0.0,BME5043,3979125165245037685848365738469
109下,BME 504500,"重點照護檢驗實作
Prototyping Point-of-Care Diagnostics","鄭兆珉CHENG, CHAO-MIN",6,4.3,0.0,BME5045,371652080629641677269787167726579777378
109下,BME 504700,"生醫感測數值統計分析
Biomedical sensing technology and statistical analysis","林幸瑩LIN, HSING-YING",6,4.3,0.0,BME5047,265192418429801767378728373787189737871
109下,BMES 112200,"生命科學導論
Introduction to Life Science","莊淳宇CHUANG, CHUN-YU",41,3.59,0.77,BMES1122,336742814723431677285657871677285788985
109下,BMES 211200,"工程數學二
Engineering Mathematics II","劉耕谷LIU, KENG-KU",54,3.67,0.9,BMES2112,211293278935895767385756978717585
109下,BMES 225200,"有機化學二
Organic Chemistry (II)","俞鐘山YU, CHUNG-SHAN",19,2.99,1.12,BMES2252,2044637912236658985677285787183726578
109下,BMES 232200,"分析化學一
Analytical Chemistry (I)","李亦淇LEE, I-CHI",12,3.28,0.89,BMES2322,26446201342810376696973677273
109下,BMES 240200,"計算機概論與程式語言
Introduction to Computer Science and Programming Language","彭旭霞PENG, HSU-HSIA",19,3.95,0.26,BMES2402,2442926093386868069787172838572837365
109下,BMES 318200,"專題研究二
Undergraduate Research (II)",指導教授,21,4.17,0.2,BMES3182,25351235662594525480
109下,BMES 323401,"生物與材料實驗
Biology and Biomedical Materials Laboratory","李亦淇LEE, I-CHI",11,4.19,0.19,BMES3234,26446201342810376696973677273
109下,BMES 323402,"生物與材料實驗
Biology and Biomedical Materials Laboratory","胡尚秀HU, SHANG-HSIU",20,4.16,0.36,BMES3234,3299323578311687285837265787172837385
109下,BMES 325100,"生理解剖學
Human Anatomy and Physiology","柯美蘭KO, MEI-LAN",46,3.35,0.87,BMES3251,2660732654343497579776973766578
109下,BMES 325300,"光學
Optics","陳之碩CHEN, CHI-SHUO",12,3.63,1.15,BMES3253,3851520043308896772697867727383728579
109下,BMES 326200,"生物化學二
Biochemistry II","江啟勳CHIANG, CHI-SHIUN",14,3.66,0.68,BMES3262,2774321855212356772736578716772738372738578
109下,BMES 411200,"書報討論
Seminar","許志楧HSU, CHIH-YING",5,3.94,0.22,BMES4112,3537724535269837283856772737289737871
109下,BMES 418200,"專題研究四
Undergraduate Research (IV)",指導教授,3,4.3,0.0,BMES4182,25351235662594525480
109下,BMES 424200,"分子遺傳學
Molecular Genetics","張建文CHANG, CHIEN-WEN",20,3.48,0.82,BMES4242,24373243142599167726578716772736978876978
109下,BMES 424400,"生醫高分子導論
Introduction of Biomedical Polymer","胡尚秀HU, SHANG-HSIU",30,4.1,0.32,BMES4244,3299323578311687285837265787172837385
109下,BMES 432200,"全球暖化與環境衝擊
Global Warming and Environmental Impact","鍾堅CHUNG, CHIEN",70,3.56,0.65,BMES4322,377582253367728578716772736978
109下,BMES 500000,"專題演講
Colloquium","劉耕谷LIU, KENG-KU
許靖涵HSU, CHING-HAN",109,4.3,0.0,BMES5000,2112932789358957673857569787175853537738742280857283856772737871726578
109下,BMES 511201,"書報討論-分子生醫工程與材料
Seminar：Molecular Biomedical Engineering and Materials","劉耕谷LIU, KENG-KU",31,4.3,0.0,BMES5112,211293278935895767385756978717585
109下,BMES 511203,"書報討論-生醫影像工程
Seminar：Biomedical Imaging Engineering","許靖涵HSU, CHING-HAN",21,4.0,0.0,BMES5112,3537738742280857283856772737871726578
109下,BMES 512200,"碩士班專題研究二
MS Graduate Research (II)",指導教授,50,4.23,0.13,BMES5122,25351235662594525480
109下,BMES 522100,"生醫光電基礎
Fundamentals of Biophotonics","陳之碩CHEN, CHI-SHUO",11,3.73,0.46,BMES5221,3851520043308896772697867727383728579
109下,BMES 525100,"藥物控制釋放
Drug Controlled Release","邱信程CHIU, HSIN-CHENG",13,4.09,0.25,BMES5251,37041204493124367727385728373786772697871
109下,BMES 526100,"奈米生醫導論
Introduction to Nanobiotechnology","許志楧HSU, CHIH-YING",8,3.93,0.25,BMES5261,3537724535269837283856772737289737871
109下,BMES 526600,"生醫高分子應用
Polymer for Bio-Applications","胡尚秀HU, SHANG-HSIU",28,3.89,0.43,BMES5266,3299323578311687285837265787172837385
109下,BMES 527400,"生醫流行病與環境毒理學
Biomedical Epidemiology and Environmental Toxicology","莊淳宇CHUANG, CHUN-YU",8,3.44,0.58,BMES5274,336742814723431677285657871677285788985
109下,BMES 528400,"分子影像藥物
Molecular Imaging Pharmaceuticals","張智偉CHANG, CHIH-WEI",31,3.93,0.35,BMES5284,243732623420553677265787167727372876973
109下,BMES 542400,"幹細胞與組織工程
Stem Cell and Tissue Engineering","張建文CHANG, CHIEN-WEN",25,3.87,0.21,BMES5424,24373243142599167726578716772736978876978
109下,BMES 545600,"臨床需求研發與生醫創新專題
Biodesign for clinical unmet need","陳自諒CHEN, TZU-LIANG
阮春榮JUAN, CHUN-JUNG",6,4.05,0.21,BMES5456,385153325835538677269788490857673657871384462614927054748565786772857874857871
109下,BMES 546600,"數位生物醫學顯微影像技術
Digital biomedical microscopy technology","朱麗安CHU, LI-AN",21,4.13,0.24,BMES5466,26417405992343367728576736578
109下,BMES 547500,"深度學習之生醫影像分析
Deep Learning in Biomedical Image Analysis","許靖涵HSU, CHING-HAN",42,3.98,0.72,BMES5475,3537738742280857283856772737871726578
109下,BMES 611201,"專題書報討論-分子生醫工程與材料
Seminar：Molecular Biomedical Engineering and Materials","劉耕谷LIU, KENG-KU",24,4.3,0.0,BMES6112,211293278935895767385756978717585
109下,BMES 611203,"專題書報討論-生醫影像工程
Seminar：Biomedical Imaging Engineering","許靖涵HSU, CHING-HAN",13,4.0,0.0,BMES6112,3537738742280857283856772737871726578
109下,BMES 626300,"放射化學特論
Special Topics in Radiochemistry","俞鐘山YU, CHUNG-SHAN",7,3.86,0.53,BMES6263,2044637912236658985677285787183726578
109下,BMES 711200,"專題書報討論
Seminar","李亦淇LEE, I-CHI",20,3.95,0.35,BMES7112,26446201342810376696973677273
109下,BMES 712200,"博士班專題研究二
PhD Graduate Research (II)",指導教授,11,4.19,0.19,BMES7122,25351235662594525480
109下,CHE 114001,"質能均衡
Material and Energy Balance","沈若樸SHEN, CLAIRE-ROAPU",37,3.73,1.05,CHE1140,277843350927192837269786776657382698279658085
109下,CHE 114002,"質能均衡
Material and Energy Balance","宋信文SUNG, HSING-WEN",35,3.5,0.73,CHE1140,234352044925991838578717283737871876978
109下,CHE 212001,"工程數學二
Engineering Mathematics II","呂世源LU, SHIH-YUAN",25,3.29,1.05,CHE2120,21570199902830476858372737289856578
109下,CHE 212002,"工程數學二
Engineering Mathematics II","周鶴修CHOU, HO-HSIU",41,3.68,0.54,CHE2120,21608403722046267727985727972837385
109下,CHE 240100,"資訊系統應用
Computer Systems & Applications","姚遠YAO, YUAN",59,3.3,0.97,CHE2401,230023696089657989856578
109下,CHE 242001,"物理化學二
Physical Chemistry (II)",堀江正樹MASAKI HORIE,28,3.56,1.03,CHE2420,225282774327491271937765836575737279827369
109下,CHE 242002,"物理化學二
Physical Chemistry (II)","王潔WANG, JANE",30,3.94,0.41,CHE2420,29579285008765787174657869
109下,CHE 305001,"程序控制
Process Control","鄭西顯JANG, SHI-SHANG",28,2.45,1.33,CHE3050,371653519939023746578718372738372657871
109下,CHE 305002,"程序控制
Process Control","姚遠YAO, YUAN",42,3.08,1.17,CHE3050,230023696089657989856578
109下,CHE 306001,"化工單操
Chemical Engineering Unit Operations","汪上曉WONG, SHANG-HSIAO",26,3.98,0.41,CHE3060,2775419978263138779787183726578717283736579
109下,CHE 306002,"化工單操
Chemical Engineering Unit Operations","蔡德豪TSAI, DE-HAO",38,3.91,0.71,CHE3060,340812450335946848365736869726579
109下,CHE 353001,"輸送現象及單元操作二
Transport Phenomena and Unit Operations(II)","黃振煌HUANG, JEN-HUANG",26,3.25,0.72,CHE3530,40643253912900472856578717469787285657871
109下,CHE 353002,"輸送現象及單元操作二
Transport Phenomena and Unit Operations(II)","陳信龍CHEN, HSIN-LUNG",36,3.16,0.94,CHE3530,385152044940845677269787283737876857871
109下,CHE 373000,"基礎高分子科學
Fundamental Polymer Science","劉英麟LIU, YING-LING
陳信龍CHEN, HSIN-LUNG",7,4.04,0.3,CHE3730,2112933521406077673858973787176737871385152044940845677269787283737876857871
109下,CHE 413100,"基礎電化學及實驗
Fundamental Electrochemical Principles and Experiments","衛子健WEI, TZU-CHIEN",8,4.08,0.25,CHE4131,3490723376205818769738490856772736978
109下,CHE 431200,"電子構裝技術與材料
Electronic Packaging technology and materials","陳信文CHEN, SINN-WEN",10,3.86,0.42,CHE4312,3851520449259916772697883737878876978
109下,CHE 494000,"光電材料與元件基礎
Fundamentals of Optoelectronic Materials and Devices","段興宇TUAN, HSING-YU
堀江正樹MASAKI HORIE",38,3.87,0.78,CHE4940,2757333288234318485657872837378718985225282774327491271937765836575737279827369
109下,CHE 495000,"專題研究一
Undergraduate Research (I)",指導教授,28,4.29,0.06,CHE4950,25351235662594525480
109下,CHE 496000,"專題研究二
Undergraduate Research (II)",指導教授,5,4.3,0.0,CHE4960,25351235662594525480
109下,CHE 500200,"分子工程二
Molecular Engineering (II)","周鶴修CHOU, HO-HSIU",9,4.09,0.34,CHE5002,21608403722046267727985727972837385
109下,CHE 505000,"高等輸送現象
Advanced Transport Phenomena","潘詠庭PAN, YUNG-TIN",5,3.98,0.5,CHE5050,28504354242423780657889857871847378
109下,CHE 508000,"化工原理二
Chemical Engineering Principles (II)","段興宇TUAN, HSING-YU
楊東翰YANG, TUNG-HAN",13,4.02,0.34,CHE5080,27573332882343184856578728373787189852695426481327528965787184857871726578
109下,CHE 510000,"書報討論
Seminar","楊東翰YANG, TUNG-HAN",115,3.83,0.23,CHE5100,2695426481327528965787184857871726578
109下,CHE 512000,"電化學分析技術與應用
Electrochemical Analytical Techniques and Applications","胡啟章HU, CHI-CHANG",19,3.96,0.33,CHE5120,32993218553145672856772736772657871
109下,CHE 512100,"石油化學工業
Petroleum Chemistry",谷家嵩 ,48,3.73,0.51,CHE5121,358952347823913
109下,CHE 512500,"實驗設計與品質工程
Experimental Design and Quality Engineering","胡啟章HU, CHI-CHANG",20,3.83,0.54,CHE5125,32993218553145672856772736772657871
109下,CHE 515200,"化學產品創意設計
Creative Design and Development of Chemical Products",盧詩磊 ,45,4.05,0.24,CHE5152,304393543330922
109下,CHE 518000,"高分子生物材料
Macromolecules as Biomaterials","王潔WANG, JANE",24,4.18,0.15,CHE5180,29579285008765787174657869
109下,CHE 524000,"數據科學與決策科技
Data Science and Decision Technology","張良志CHANG, LIANG-JYH",18,3.99,0.3,CHE5240,24373333912453567726578717673657871748972
109下,CHE 545200,"高分子分析技術
Polymer Characterization","何榮銘HO, RONG-MING",15,4.07,0.32,CHE5452,20309270543752872798279787177737871
109下,CHE 546500,"高等高分子物理
Special Topics in Condensed Polymer Physics","陳信龍CHEN, HSIN-LUNG
何榮銘HO, RONG-MING",19,3.48,0.76,CHE5465,38515204494084567726978728373787685787120309270543752872798279787177737871
109下,CHE 549000,"高分子加工
Polymer Processing","張榮語CHANG, RONG-YEU",4,4.15,0.15,CHE5490,243732705435486677265787182797871896985
109下,CHE 555000,"膠體界面科學與科技特論
Introduction to Colloid and Interface Science & Technology","蔡德豪TSAI, DE-HAO",20,4.05,0.26,CHE5550,340812450335946848365736869726579
109下,CHE 575000,"材料相平衡
Phase Equilibria of Materials","陳信文CHEN, SINN-WEN",3,4.0,0.0,CHE5750,3851520449259916772697883737878876978
109下,CHE 576000,"奈米材料合成與鑑定
Synthesis and Characterization of Nanomaterials","楊東翰YANG, TUNG-HAN",29,4.13,0.22,CHE5760,2695426481327528965787184857871726578
109下,CHE 582000,"電化學能源
Electrochemical Energy Storage and Conversion","衛子健WEI, TZU-CHIEN",41,4.04,0.24,CHE5820,3490723376205818769738490856772736978
109下,CHE 589000,"工業微生物學
Industrial Microbiology","朱一民CHU, I-MIN",8,4.23,0.13,CHE5890,26417199682766567728573777378
109下,CHE 592200,"藥物傳輸特論
Special Topics on Drug Delivery","朱一民CHU, I-MIN",31,4.17,0.33,CHE5922,26417199682766567728573777378
109下,CHEM 102001,"普通化學二
General Chemistry (II)","朱立岡CHU, LI-KANG",125,2.58,1.2,CHEM1020,264173143523713677285767375657871
109下,CHEM 102002,"普通化學二
General Chemistry (II)","洪嘉呈HORNG, JIA-CHERNG",157,2.14,1.31,CHEM1020,2794622025215767279827871747365677269827871
109下,CHEM 102003,"普通化學二
General Chemistry (II)","黃國柱HWANG, KUO-CHU",162,3.64,0.71,CHEM1020,4064322283266097287657871758579677285
109下,CHEM 103001,"普通化學實驗一
General Chemistry Laboratory (I)","廖翊雅LIAO, YI-YA",57,3.57,0.35,CHEM1030,2427832714385977673657989738965
109下,CHEM 103002,"普通化學實驗一
General Chemistry Laboratory (I)","廖翊雅LIAO, YI-YA",58,3.53,0.57,CHEM1030,2427832714385977673657989738965
109下,CHEM 104001,"普通化學實驗二
General Chemistry Laboratory (II)","廖翊雅LIAO, YI-YA",57,3.89,0.28,CHEM1040,2427832714385977673657989738965
109下,CHEM 104002,"普通化學實驗二
General Chemistry Laboratory (II)","廖翊雅LIAO, YI-YA",52,3.76,0.3,CHEM1040,2427832714385977673657989738965
109下,CHEM 104003,"普通化學實驗二
General Chemistry Laboratory (II)","廖翊雅LIAO, YI-YA",48,3.7,0.28,CHEM1040,2427832714385977673657989738965
109下,CHEM 104004,"普通化學實驗二
General Chemistry Laboratory (II)","廖翊雅LIAO, YI-YA",44,3.65,0.81,CHEM1040,2427832714385977673657989738965
109下,CHEM 104005,"普通化學實驗二
General Chemistry Laboratory (II)","廖翊雅LIAO, YI-YA",60,3.95,0.26,CHEM1040,2427832714385977673657989738965
109下,CHEM 104006,"普通化學實驗二
General Chemistry Laboratory (II)","廖翊雅LIAO, YI-YA",56,3.8,0.43,CHEM1040,2427832714385977673657989738965
109下,CHEM 104007,"普通化學實驗二
General Chemistry Laboratory (II)","廖翊雅LIAO, YI-YA",58,3.77,0.56,CHEM1040,2427832714385977673657989738965
109下,CHEM 104008,"普通化學實驗二
General Chemistry Laboratory (II)","廖翊雅LIAO, YI-YA",53,3.7,0.52,CHEM1040,2427832714385977673657989738965
109下,CHEM 104009,"普通化學實驗二
General Chemistry Laboratory (II)","廖翊雅LIAO, YI-YA",51,3.66,0.74,CHEM1040,2427832714385977673657989738965
109下,CHEM 222001,"有機化學二
Organic Chemistry (II)","陳建添CHEN, CHIEN-TIEN",75,3.71,1.02,CHEM2220,38515243142815567726978677273697884736978
109下,CHEM 222002,"有機化學二
Organic Chemistry (II)","王聖凱WANG, SHENG-KAI",184,2.43,1.22,CHEM2220,295793285420977876578718372697871756573
109下,CHEM 224001,"有機化學實驗二
Organic Chemistry Laboratory (II)","涂育瑋TU, YU-WEI",21,3.81,0.44,CHEM2240,28034329462977184858985876973
109下,CHEM 224002,"有機化學實驗二
Organic Chemistry Laboratory (II)","涂育瑋TU, YU-WEI",36,3.71,0.48,CHEM2240,28034329462977184858985876973
109下,CHEM 224003,"有機化學實驗二
Organic Chemistry Laboratory (II)","涂育瑋TU, YU-WEI",37,3.84,0.28,CHEM2240,28034329462977184858985876973
109下,CHEM 224004,"有機化學實驗二
Organic Chemistry Laboratory (II)","涂育瑋TU, YU-WEI",28,3.71,0.45,CHEM2240,28034329462977184858985876973
109下,CHEM 242000,"物理化學二
Physical Chemistry (II)","游靜惠YU, CHIN-HUI",75,2.61,1.16,CHEM2420,282163874824800898567727378728573
109下,CHEM 244001,"物理化學實驗一
Physical Chemistry Laboratory (I)","莊晴如CHUANG, CHING-JU",31,3.8,0.42,CHEM2440,33674262282291467728565787167727378717485
109下,CHEM 244002,"物理化學實驗一
Physical Chemistry Laboratory (I)","莊晴如CHUANG, CHING-JU",31,3.92,0.3,CHEM2440,33674262282291467728565787167727378717485
109下,CHEM 244003,"物理化學實驗一
Physical Chemistry Laboratory (I)","莊晴如CHUANG, CHING-JU",32,3.88,0.31,CHEM2440,33674262282291467728565787167727378717485
109下,CHEM 244004,"物理化學實驗一
Physical Chemistry Laboratory (I)","莊晴如CHUANG, CHING-JU",31,3.81,0.42,CHEM2440,33674262282291467728565787167727378717485
109下,CHEM 292000,"化學數學
Mathematics for Chemistry","江昀緯CHIANG, YUN-WEI",17,3.42,1.03,CHEM2920,277432611232239677273657871898578876973
109下,CHEM 312000,"分析化學二
Analytical Chemistry (II)","帕偉鄂本URBAN, PAWEL LUKASZ",70,3.73,0.97,CHEM3120,2408520553371222641285826665788065876976768575658390
109下,CHEM 314001,"分析化學實驗二
Analytical Chemistry Laboratory (II)","廖英孝LIAO, YING-HSIAO",30,3.98,0.45,CHEM3140,24278335212338976736579897378717283736579
109下,CHEM 314002,"分析化學實驗二
Analytical Chemistry Laboratory (II)","廖英孝LIAO, YING-HSIAO",20,4.07,0.31,CHEM3140,24278335212338976736579897378717283736579
109下,CHEM 326000,"光譜分析
Spectroscopic Analysis","胡紀如HWU, JIH-RU",24,4.03,0.3,CHEM3260,3299332000229147287857473728285
109下,CHEM 328000,"當代化學論壇
Contemporary  Research in Chemistry","帕偉鄂本URBAN, PAWEL LUKASZ",29,3.85,0.88,CHEM3280,2408520553371222641285826665788065876976768575658390
109下,CHEM 329001,"光譜分析實驗
Spectroscopic Analysis Laboratory","胡紀如HWU, JIH-RU",21,3.94,0.27,CHEM3290,3299332000229147287857473728285
109下,CHEM 332000,"無機化學二
Inorganic Chemistry (II)","蔡易州TSAI, YI-CHOU",91,2.59,1.34,CHEM3320,34081261312403084836573897367727985
109下,CHEM 463000,"書報討論二(有機無機組
)Seminar-Organic and Inorganic Divisions (II)","蔡易州TSAI, YI-CHOU",34,3.33,0.9,CHEM4630,34081261312403084836573897367727985
109下,CHEM 464000,"書報討論二(物化分析組
)Seminar-Physical and Analytical Chemistry (II)","朱立岡CHU, LI-KANG",27,3.48,0.85,CHEM4640,264173143523713677285767375657871
109下,CHEM 466000,"專題演講二
Colloquium (II)","林俊成LIN, CHUN-CHENG",11,3.43,1.19,CHEM4660,265192042625104767378677285786772697871
109下,CHEM 481000,"專題研究二
Undergraduate Research (II)",指導教授,9,4.23,0.12,CHEM4810,25351235662594525480
109下,CHEM 500500,"教學實習二
Teaching Internship (II)",指導教授,79,4.23,0.13,CHEM5005,25351235662594525480
109下,CHEM 501500,"同步輻射應用
Applications of Synchrotron Radiation","李耀昌LEE, YAO-CHANG",30,3.53,0.43,CHEM5015,2644632768261247669698965796772657871
109下,CHEM 502500,"表面化學
Surface Chemistry","楊耀文YANG, YAW-WEN",4,3.83,0.37,CHEM5025,26954327682599189657871896587876978
109下,CHEM 504500,"蛋白質結構與化學
Protein Structure and Chemistry","洪嘉呈HORNG, JIA-CHERNG",26,3.76,0.53,CHEM5045,2794622025215767279827871747365677269827871
109下,CHEM 504600,"電化學導論及應用
Electrochemistry Fundamentals and Applications","王育恒WANG, YU-HENG",3,4.3,0.0,CHEM5046,29579329462465887657871898572697871
109下,CHEM 506000,"生物無機化學
Bioinorganic Chemistry","廖文峯LIAW, WEN-FENG",11,3.69,0.75,CHEM5060,2427825991237917673658787697870697871
109下,CHEM 507500,"高等生物化學
Advanced Biochemistry","余靖YU, CHIN",6,4.25,0.11,CHEM5075,2031338742898567727378
109下,CHEM 509500,"分子光化學
Molecular Photochemistry","陳益佳CHEN, I-CHIA",6,3.58,1.6,CHEM5095,385153041020339677269787367727365
109下,CHEM 512000,"生醫分析
Biomedical Analysis","陳貴通TAN, KUI THONG",21,3.58,0.44,CHEM5120,3851536020368908465787585738472797871
109下,CHEM 530500,"新穎高分子化學合成
Chemistry in Modern Polymer Synthesis","彭之皓PENG, CHI-HOW",18,4.1,0.2,CHEM5305,24429200433035580697871677273727987
109下,CHEM 538000,"統計熱力學
Statistical Thermodynamics","周佳駿CHOU, CHIA-CHUN",17,4.19,0.2,CHEM5380,216082033939423677279856772736567728578
109下,CHEM 540500,"量子動力學導論
Introduction to Quantum Dynamics","周佳駿CHOU, CHIA-CHUN",23,3.97,0.51,CHEM5405,216082033939423677279856772736567728578
109下,CHEM 542000,"雷射化學及光譜
Laser Chemistry and Spectroscopy","鄭博元CHENG, PO-YUAN",11,3.85,0.25,CHEM5420,3716521338208036772697871807989856578
109下,CHEM 549000,"奈米材料化學
Nanomaterial Chemistry",黃暄益HUANG MICHAEL HSUAN-YI,8,3.63,0.67,CHEM5490,40643262443041072856578717773677265697672838565788973
109下,CHEM 550000,"觸媒化學
Heterogeneous Catalysis","楊家銘YANG, CHIA-MIN",6,3.65,0.57,CHEM5500,2695423478375288965787167727365777378
109下,CHEM 551000,"應用化學特論
Special Topics in Applied Chemistry","彭之皓PENG, CHI-HOW",67,4.21,0.15,CHEM5510,24429200433035580697871677273727987
109下,CHEM 553500,"研究專題討論二
Seminar II",指導教授,79,4.17,0.15,CHEM5535,25351235662594525480
109下,CHEM 562000,"書報討論(有機組
)Seminar - Organic Division","陳建添CHEN, CHIEN-TIEN",25,4.02,0.26,CHEM5620,38515243142815567726978677273697884736978
109下,CHEM 564000,"書報討論(物化組
)Seminar - Physical Chemistry Division","江昀緯CHIANG, YUN-WEI",19,3.84,0.44,CHEM5640,277432611232239677273657871898578876973
