科號,課程中文名稱,課程英文名稱,學分數,人限,新生保留人數,通識對象,通識類別,授課語言,備註,停開註記,教室與上課時間,授課教師,擋修說明,課程限制說明,第一二專長對應,學分學程對應,不可加簽說明,必選修說明
11110ANTH678400,自然文化與權力：殖民主義到21世紀資本主義,"Nature, Culture, and Power from Colonialism to 21st Century Capitalism",3,10,0, ,,英,本課程為16 週課程,,"HSS人社C303	T2T3T4
","高進榮	GALIPEAU, BRENDAN ARTHUR
",,排除大學部1年級2年級,,(跨領域)世界南島暨原住民族學分學程,,人類所111D  選修	人類所111M  選修	台研教在職學位班111P  選修	
11110ANTH678800,文化人類學田野實習,Fieldwork Training,1,,0, ,,中,需修過人類學方法論,,"HSS人社C304	F5
","李威宜	LEE, WEI-I
","<div>
  擋修對象 : 全校 <br>
  先修科目 : <BR><BR>人類學方法論-成績需B-以上<BR><br>上述條件一定要有，則不擋修。</div>",排除大學部1年級2年級3年級4年級,,,,人類所111D  選修	人類所111M  必修	台研教在職學位班111P  選修	
11110ANTH678900,考古學田野實習,Archaeological Field Practicum,1,,0, ,,中,"需先修過考古學方法論,上課地點:人社A421",,,"謝艾倫	ELLEN HSIEH
","<div>
  擋修對象 : 全校 <br>
  先修科目 : <BR><BR>考古學方法論-成績需B-以上<BR><br>上述條件一定要有，則不擋修。</div>",排除大學部1年級2年級3年級4年級,,,,人類所111M  必修	台研教在職學位班111P  選修	
11110ANTH679500,文化人類學,Advance Cultural Anthropology,3,,0, ,,英,此為本所乙組:南島英語學程組之必修課,,"HSS人社C304	W2W3W4
","陳中民	CHEN, CHUNG-MIN
",,排除大學部1年級2年級3年級4年級,,(跨領域)世界南島暨原住民族學分學程,,人類所111D  選修	人類所111M  必修	台研教在職學位班111P  選修	
11110ANTH679600,書報討論：主體性研究,Seminar：Studies of Subjectivity,2,3,0, ,,中,上課地點: 人社院C616,,,"指導教授	
",,限人類所,,,,人類所111M  選修	
11110ANTH679700,台灣考古學,Archaeology of Taiwan,3,,0, ,,英, ,,"HSS人社C304	M2M3M4
","王儷螢	LI-YING WANG
",,,,,,
11110ANTH800000,論文研究,Thesis,0,,0, ,,中,限人類所博三以上同學，Selectable after successfully completing second year's coursework.,,,"指導教授	
",,排除博士班1年級2年級,,,,人類所111D  必修	
11110ASTR500100,專題研究--天文教學二,Special Topic on Teaching Astronomy (II),1,,0, ,,中, ,,,"指導教授	
",,,,,,天文所111D  選修	天文所111M  選修	
11110ASTR530000,星系天文學,Galactic Astronomy,3,,0, ,,英, ,,"GEN II綜二521	T6T7T8
","安德魯˙古柏	COOPER, ANDREW PAUL
",,,,,,天文所111D  必修	天文所111M  必修	
11110ASTR591000,專題演講一,Colloquium (I),1,,0, ,,英, ,,"GEN II綜二521	F6F7
","何英宏	Daniel Harsono
",,,,,,天文所111D  必修	天文所111M  必修	
11110ASTR600700,天文物理的前沿一,Frontier of Astrophysics Seminars I,1,,0, ,,英, ,,"GEN II綜二501	TnWnRn
","後藤友嗣	GOTO, TOMOTSUGU
",,,,,,天文所111D  選修	天文所111M  選修	
11110ASTR610000,天文觀測,Observational Astronomy,3,15,0, ,,英, ,,"GEN II綜二521	W6W7W8
","江國興	ALBERT KONG
",,,,(台聯大)太空科技與工程學分學程,,天文所111D  必修	天文所111M  必修	
11110ASTR660000,計算天文物理,Computational Astrophysics,3,,0, ,,英, ,,"GEN II綜二501	R6R7R8
","楊湘怡	YANG, HSIANG-YI
",,,,,,天文所111D  選修	天文所111M  選修	
11110ASTR691000,論文研究,Thesis,0,,0, ,,中,限天文所碩二以上同學，Selectable after successfully completing first year's coursework,,,"指導教授	
",,排除天文所碩士班1年級,,,,天文所111M  必修	
11110ASTR992000,論文研究,Thesis,0,,0, ,,中,限天文所博二以上同學，Selectable after successfully completing first year's coursework,,,"指導教授	
",,排除博士班1年級,,,,天文所111D  必修	
11110BAI 700100,統計與機器學習概論一,Introduction of Statistics and Machine Learning (I),3,20,0, ,,英,本課程為 16 週課程。限大三以上修習,,"GEN II綜二614	T2T3T4
","楊立威	YANG, LEE-WEI
羅中泉	LO, CHUNG-CHUAN
張筱涵	CHANG, HSIAO-HAN
",,"電資院,工學院,生科院,原科院,智慧生醫博士學程優先，第3次選課起開放全校修習",,(跨領域)人工智慧與應用進階學分學程/(跨領域)人工智慧與應用基礎學分學程/(跨領域)神經科學學分學程,,智慧生醫博士學程111D  必修	
11110BAI 700300,專題演講,Colloquium,1,40,0, ,,英,課程為 16 週課程。,,"GEN II綜二104	T5T6
","楊立威	YANG, LEE-WEI
",,"電資院,工學院,生科院,原科院,智慧生醫博士學程優先，第3次選課起開放全校修習",,,,智慧生醫博士學程111D  必修	
11110BAI 700600,實驗輪轉一,Lab Rotation (I),1,3,0, ,,中, ,,,,,限智慧生醫博士學程,,,,智慧生醫博士學程111D  必修	
11110BME 400100,專題研究,Undergraduate Research,3,,0, ,,中,限大學部學生修課,,,"指導教授	
",,限大學部,,,,醫工所111M  選修	
11110BME 500400,書報討論,Seminar,1,,0, ,,中, ,,"NTHU Lab清實826	W3W4
","鄭兆&#29641;	CHENG, CHAO-MIN
",,限醫工所,,,,醫工所111D  必修	醫工所111M  必修	
11110BME 500800,癌症生物學與治療,Cancer Biology and Therapy,3,24,0, ,,英, ,,"NTHU Lab清實826	M5M6M7
","陳韻晶	CHEN, YUN-CHING
",,,,(跨領域)生物產業技術學分學程,,醫工所111D  選修	醫工所111M  選修	
11110BME 501200,論文研究,Thesis,0,,0, ,,中,限醫工所碩二以上同學，Selectable after successfully completing first year's coursework,,,"指導教授	
",,排除碩士班1年級,,,,醫工所111M  必修	
11110BME 501900,微機電奈米感測器,Microelectromechanical Sensor,3,,0, ,,英, ,,"NTHU Lab清實319	F6F7F8
","林宗宏	LIN, ZONG-HONG
",,限醫工所,,(跨領域)奈米科技學分學程,,醫工所111D  選修	醫工所111M  選修	
11110BME 502400,奈米生醫材料,Nano-/Bio-materials,3,,0, ,,英, ,,"NTHU Lab清實319	W5W6W7
","鄭兆&#29641;	CHENG, CHAO-MIN
",,,,(跨領域)奈米科技學分學程/(跨領域)奈微米機電元件與系統全英語學分學程,,醫工所111D  選修	醫工所111M  選修	
11110BME 502500,生物分析化學,Bioanalytical Chemistry,3,,0, ,,英, ,,"NTHU Lab清實826	T6T7T8
","林宗宏	LIN, ZONG-HONG
",,,,(跨領域)生物產業技術學分學程,,醫工所111D  選修	醫工所111M  選修	
11110BME 502600,醫療器材設計與開發實務,Practical Skills of the Design and Development of Medical Devices,3,36,0, ,,中, ,,"GEN II綜二616	MaMbMc
","王明哲	WANG, MING-CHE
",,,,,,醫工所111D  選修	醫工所111M  選修	
11110BME 503600,奈米光學材料,Optical Nanomaterials,3,,0, ,,英, ,,"NTHU Lab清實826	R7R8R9
","萬德輝	WAN, DE-HUI
",,限醫工所,,,,醫工所111D  選修	醫工所111M  選修	
11110BME 503900,應用細胞生物工程學,Applied Cellular Bioengineering,3,,0, ,,英, ,,"NTHU Lab清實826	R2R3R4
","黃玠誠	HUANG, CHIEH-CHENG
",,,,,,醫工所111D  選修	醫工所111M  選修	
11110BME 504000,金屬生物醫藥與生醫材料,Metal-based biomedicine and biomaterials,3,,0, ,,英,限曾修過「普通化學」者選修,,"NTHU Lab清實826	M2M3M4
","魯才德	LU, TSAI-TE
",,,,,,醫工所111D  選修	醫工所111M  選修	
11110BME 504400,前瞻生物醫學技術概論,Introduction of Frontier Biomedical Technology,3,15,0, ,,中,限大四以上選修,,"GEN II綜二614	F2F3F4
","裘正健	CHIU, JENG-JIANN
",,排除大學部1年級2年級3年級,,,,醫工所111D  選修	醫工所111M  選修	
11110BME 504600,液態生物檢體與轉譯醫學應用,Liquid biopsy and its applications in translational medicine,3,,0, ,,英,修課學生須先經過任課教師同意,,"NTHU Lab清實319	M2M3M4
","林幸瑩	LIN, HSING-YING
",,,,,,醫工所111D  選修	醫工所111M  選修	
11110BME 504900,物聯網生醫感測平台於轉譯醫學之應用,IoT biomedical sensing platformsin translational medicine application,3,,0, ,,英,修課學生須先經過任課教師同意,,"NTHU Lab清實319	M5M6M7
","林幸瑩	LIN, HSING-YING
",,,,,,醫工所111D  選修	醫工所111M  選修	
11110BME 800100,論文研究,Thesis,0,,0, ,,中, ,,,"指導教授	
",,限醫工所博士班,,,,醫工所111D  必修	
11110BMES111100,生醫工程與環境科學導論,Introduction to Biomedical Engineering and Environmental Sciences,2,60,0, ,,中,本課程每週上180分鐘,,"BMES醫環301	M7M8M9
","黃郁棻	HUANG, YU-FEN
陳之碩	CHEN, CHI-SHUO
",,原科院優先，第3次選課起開放全校修習,生醫工程(第二專長)	生醫工程與環境科學(第一專長),,,醫環系111B  必修	
11110BMES211100,工程數學一,Engineering Mathematics I,3,50,0, ,,中, ,,"BMES醫環110	T7T8T9
","朱麗安	CHU, LI-AN
","<div>
  擋修對象 : 醫環系 <br>
  先修科目 : <BR><BR>微積分二-成績需D以上<BR>微積分Ｂ二-成績需D以上<BR>微積分二(數學系)-成績需D以上<BR>微積分Ａ二-成績需D以上<BR><br>上述條件任選一科，則不擋修。</div>","醫環系大學部2年級,原科院學士班大學部2年級優先，第3次選課起開放全校修習",生醫工程與環境科學(第一專長),,,醫環系110B  必修	原科院學士班110B  必修	
11110BMES212100,機率與統計,Probability and Statistics,3,60,0, ,,中,,,"BMES醫環110	M3M4W2
","陳之碩	CHEN, CHI-SHUO
","<div>
  擋修對象 : 醫環系 <br>
  先修科目 : <BR><BR>微積分一-成績需D以上<BR>微積分Ａ一-成績需D以上<BR>微積分Ｂ一-成績需D以上<BR>微積分一(數學系)-成績需D以上<BR>曾修微積分一(數學系)(基本科目免修測試)<BR>曾修微積分Ａ一(基本科目免修測試)<BR>曾修微積分Ｂ一(基本科目免修測試)<BR><br>上述條件任選一科，則不擋修。</div>",,生醫工程(第二專長)	生醫工程與環境科學(第一專長)	醫學物理(第二專長),(跨領域)生物資訊學分學程/(跨領域)人工智慧與應用基礎學分學程/(跨領域)音樂科技與健康學分學程/(跨領域)神經科學學分學程,,醫環系110B  必修	
11110BMES213300,電子學一,Electronics I,3,,0, ,,中,,,"BMES醫環110	T3T4R4
","葉秩光	YEH, CHIH-KUANG
",,,生醫工程(第二專長)	生醫工程與環境科學(第一專長)	醫學物理(第二專長),(跨領域)積體電路設計學分學程,,醫環系110B  必修	
11110BMES215100,有機化學一,Organic Chemistry (I),3,,0, ,,中,本課程上150分鐘，其餘時間由教授彈性運用,,"BMES醫環110	W3W4F3F4
","俞鐘山	YU, CHUNG-SHAN
",,,環境科技學程(第二專長)	生醫工程(第二專長)	生醫工程與環境科學(第一專長)	生命科學(第二專長),,,醫環系110B  必修	原科院學士班110B  必修	
11110BMES312101,生醫電子與儀器實驗,Biomedical Electronics and Instrumentation Laboratory,2,25,0, ,,中, ,,"BMES醫環110	M5M6M7M8
","葉秩光	YEH, CHIH-KUANG
",,醫環系大學部3年級優先，第3次選課起開放全校修習,,,,醫環系109B  必修	
11110BMES312102,生醫電子與儀器實驗,Biomedical Electronics and Instrumentation Laboratory,2,25,0, ,,中, ,,"BMES醫環110	R5R6R7R8
","陳之碩	CHEN, CHI-SHUO
",,醫環系大學部3年級優先，第3次選課起開放全校修習,,,,醫環系109B  必修	
11110BMES316100,生物化學一,Biochemistry I,3,,0, ,,中, ,,"BMES醫環101	T3T4R3
","邱信程	CHIU, HSIN-CHENG
",,,環境科技學程(第二專長)	生醫工程(第二專長)	生醫工程與環境科學(第一專長)	生命科學(第二專長),(跨領域)生物產業技術學分學程,,醫環系109B  必修	原科院學士班109B  必修	
11110BMES318100,專題研究一,Undergraduate Research (I),1,,0, ,,中,指導教授限醫環系教師,,,"指導教授	
",,限大學部,,,,醫環系109B  選修	
11110BMES323100,數值方法,Numerical Methods,3,,0, ,,中, ,,"BMES醫環101	T6T7T8
","劉耕谷	LIU, KENG-KU
",,,生醫工程(第二專長)	生醫工程與環境科學(第一專長),(跨領域)神經科學學分學程,,醫環系109B  選修	
11110BMES327200,生醫材料,Biomedical Materials,3,30,0, ,,中, ,,"BMES醫環717	W3W4F2
","胡尚秀	HU, SHANG-HSIU
",,,生醫工程(第二專長),(跨領域)醫學科技學分學程,,醫環系109B  選修	
11110BMES332100,儀器分析,Instrumental Analysis,3,,0, ,,中, ,,"BMES醫環618	R4F3F4
","李亦淇	LEE, I-CHI
",,,生醫工程(第二專長)	生醫工程與環境科學(第一專長),,,醫環系109B  選修	原科院學士班109B  選修	
11110BMES337100,物理化學一,Physical Chemistry (I),3,,0, ,,中,"本課程上150分鐘,其餘時間由教授彈性運用.",,"BMES醫環717	M3M4W1W2
","吳劍侯	WU, CHIEN-HOU
","<div>
  擋修對象 : 醫環系 <br>
  先修科目 : <BR><BR>普通化學二-成績需D以上<BR><br>上述條件一定要有，則不擋修。</div>",,環境科技學程(第二專長)	生醫工程(第二專長)	生醫工程與環境科學(第一專長),,,醫環系109B  選修	原科院學士班110B  必修	
11110BMES343100,醫學儀器,Medical Instrumentation,3,,0, ,,中, ,,"BMES醫環501	W2W3W4
","彭旭霞	PENG, HSU-HSIA
",,,生醫工程(第二專長)	生醫工程與環境科學(第一專長)	醫學物理(第二專長),,,醫環系109B  選修	
11110BMES411100,書報討論,Seminar,1,26,0, ,,中, ,,"BMES醫環110	W6
","林曉均	Lin, Hsiao Chun
",,醫環系大學部4年級優先，第3次選課起開放全校修習,,,,醫環系108B  必修	
11110BMES418100,專題研究三,Undergraduate Research (III),1,,0, ,,中,指導教授限醫環系教師,,,"指導教授	
",,限大學部,,,,醫環系108B  選修	
11110BMES420200,放射化學,Radiochemistry,3,,0, ,,中, ,,"BMES醫環110	W7W8W9
","張智偉	CHANG, CHIH-WEI
",,,環境科技學程(第二專長)	生醫工程(第二專長)	生醫工程與環境科學(第一專長),,,醫環系108B  選修	原科院學士班108B  選修	核工所111M  選修	
11110BMES423100,分子細胞生物學,Molecular and Cellular Biology,3,,0, ,,中, ,,"BMES醫環401	M7M8M9
","張建文	CHANG, CHIEN-WEN
",,醫環系優先，第3次選課起開放全校修習,生醫工程(第二專長)	生醫工程與環境科學(第一專長),,,醫環系108B  選修	
11110BMES433100,全球能源短缺衝擊,Impact of Global Energy Shortage,2,120,0,*1,自然科學領域 Elective GE course: Natural Sciences,中,"不接受停修(二退),本課程為16週課程",,"BMES醫環120	R7R8
","鍾堅	CHUNG, CHIEN
",,,,(跨領域)能源科技與永續社會學分學程/(跨領域)永續發展與環境管理學分學程,,醫環系108B  選修	
11110BMES441100,臨床醫學影像概論,Introduction of medical imaging,3,,0, ,,中, ,,"BMES醫環401	F5F6F7
","楊菁華	YANG, CHIN-HUA
",,,生醫工程(第二專長)	生醫工程與環境科學(第一專長),,,醫環系108B  選修	
11110BMES441200,放射物理,Radiation Physics,3,,0, ,,中, ,,"BMES醫環401	T6T7T8
","許芳裕	HSU, FANG-YUH
",,,生醫工程(第二專長)	生醫工程與環境科學(第一專長)	醫學物理(第二專長),,,醫環系108B  選修	核工所111M  選修	
11110BMES441300,臨床醫學總論,Clinical Medicine,3,,0, ,,中, ,,"BMES醫環401	W2W3W4
","沈名吟	SHEN, MING-YIN
",,,,,,醫環系108B  選修	
11110BMES442100,生醫訊號與系統,Biomedical Signals and Systems,3,,0, ,,中, ,,"BMES醫環301	M2M3M4
","許靖涵	HSU, CHING-HAN
",,,生醫工程(第二專長)	生醫工程與環境科學(第一專長),(跨領域)神經科學學分學程,,醫環系108B  選修	核工所111M  選修	
11110BMES500000,專題演講,Colloquium,0,,0, ,,中,限碩博班各組,,"BMES醫環120	W7W8
","朱麗安	CHU, LI-AN
莊淳宇	CHUANG, CHUN-YU
",,限醫環系碩士班博士班,,,,醫環系111D  必修	醫環系111DA 必修	醫環系111DB 必修	醫環系111M  必修	
11110BMES511101,書報討論-分子生醫工程與材料,Seminar：Molecular Biomedical Engineering and Materials,1,,0, ,,中,限醫環系碩一甲(分子生醫工程與材料組)、丙(應用化學組)限醫環系碩士班1年級,,"BMES醫環101	W5
","莊淳宇	CHUANG, CHUN-YU
",,限醫環系碩士班1年級,,,,醫環系111M  必修	
11110BMES511103,書報討論-生醫影像工程,Seminar：Biomedical Imaging Engineering,1,,0, ,,中,限醫環系碩一乙(醫學物理與工程組)限醫環系碩士班1年級,,"BMES醫環401	W5
","朱麗安	CHU, LI-AN
",,限醫環系碩士班1年級,,,,醫環系111M  必修	
11110BMES512100,碩士班專題研究一,MS Graduate Research (I),1,,0, ,,中, ,,,"指導教授	
",,限醫環系碩士班,,,,醫環系111M  必修	
11110BMES520100,分子生醫基礎,Introduction to Molecular Biomedicine,3,,0, ,,英, ,,"BMES醫環101	W2W3W4
","莊淳宇	CHUANG, CHUN-YU
",,,,,,醫環系111M  選修	
11110BMES520200,生醫感測器,Biomedical Sensors,3,,0, ,,英, ,,"BMES醫環101	M5M6M7
","劉耕谷	LIU, KENG-KU
",,,,,,醫環系111M  選修	
11110BMES523500,器官晶片與人工器官設計與應用,Design and Application of Organ on a Chip and Bioartificial Organ,3,,0, ,,中, ,,"BMES醫環501	T5T6T7
","李亦淇	LEE, I-CHI
",,,,,,醫環系111M  選修	
11110BMES529100,生醫耦合化學,Bioconjugated Chemistry,3,,0, ,,英, ,,"BMES醫環618	R6R7R8
","俞鐘山	YU, CHUNG-SHAN
",,,,,,醫環系111M  選修	
11110BMES544500,醫學成像器材研發,Development of Medical Imaging Instruments,3,,0, ,,英,本課程為16週課程,,"BMES醫環419	M5M6M7
","林曉均	Lin, Hsiao Chun
",,,,(跨領域)醫學物理學分學程,,醫環系111M  選修	
11110BMES545300,神經科學研究方法,Neuroscience research methods,2,14,0, ,,中, ,,"BMES醫環418	R5R6
","朱麗安	CHU, LI-AN
",,,,,,醫環系111M  選修	
11110BMES545500,精準醫學暨臨床應用,Clinical applications of precision medicine,2,,0, ,,中, ,,"BMES醫環501	T3T4
","楊晶安	YANG, CHIN-AN
",,,,,,醫環系111M  選修	
11110BMES546300,生醫影像處理,Biomedical Image Processing,3,,0, ,,中, ,,"BMES醫環301	W2W3W4
","許靖涵	HSU, CHING-HAN
",,,,(跨領域)人工智慧與應用進階學分學程/(跨領域)人工智慧與應用基礎學分學程/(跨領域)醫學科技學分學程/(跨領域)神經科學學分學程,,醫環系111M  選修	核工所111D  選修	核工所111M  選修	
11110BMES546700,核磁共振影像原理及應用,Magnetic Resonance Imaging Principles and Applications,3,,0, ,,中, ,,"BMES醫環501	R2R3R4
","彭旭霞	PENG, HSU-HSIA
",,,,(跨領域)醫學物理學分學程,,醫環系111M  選修	
11110BMES548500,超音波與光學：生醫技術與應用,Ultrasound and Optics : Biomedical Imaging Techniques and applications,3,,0, ,,英, ,,"BMES醫環419	T5T6T7
","林曉均	Lin, Hsiao Chun
",,,,(跨領域)醫學物理學分學程,,醫環系111M  選修	
11110BMES610200,論文研究,Thesis,0,,0, ,,中,限醫環系碩二以上同學，Selectable after successfully completing first year's coursework,,,"指導教授	
",,排除醫環系碩士班1年級,,,,醫環系111M  必修	
11110BMES611101,專題書報討論-分子生醫工程與材料,Seminar：Molecular Biomedical Engineering and Materials,1,,0, ,,中,限醫環系碩二甲(分子生醫工程與材料組)限醫環系碩士班2年級3年級4年級,,"BMES醫環101	W6
","莊淳宇	CHUANG, CHUN-YU
",,限醫環系碩士班2年級3年級4年級,,,,醫環系111M  必修	
11110BMES611103,專題書報討論-生醫影像工程,Seminar：Biomedical Imaging Engineering,1,,0, ,,中,限醫環系碩二乙(醫學物理與工程組)限醫環系碩士班2年級3年級4年級,,"BMES醫環401	W6
","朱麗安	CHU, LI-AN
",,限醫環系碩士班2年級3年級4年級,,,,醫環系111M  必修	
11110BMES711100,專題書報討論,Seminar,1,,0, ,,英,限醫環系博班各組(博班必修),,"BMES醫環618	W6
","劉耕谷	LIU, KENG-KU
",,限醫環系博士班,,,,醫環系111D  必修	醫環系111DA 必修	醫環系111DB 必修	
11110BMES712100,博士班專題研究一,PhD Graduate Research (I),1,,0, ,,英, ,,,"指導教授	
",,限醫環系博士班,,,,醫環系111D  必修	醫環系111DA 必修	醫環系111DB 必修	
11110BMES810100,論文研究,Thesis,0,,0, ,,中,限醫環系博二以上同學，Selectable after successfully completing first year's coursework,,,"指導教授	
",,排除博士班1年級,,,,醫環系111D  必修	醫環系111DA 必修	醫環系111DB 必修	
11110CHE 116000,化學工程導論,Introduction to Chemical Engineering,1,67,0, ,,中,授課教師：系主任,,"CHE化工 B18	W9
",,,"化工系大學部1年級,工學院學士班大學部1年級優先，第3次選課起開放全校修習",,,,化工系111B  必修	
11110CHE 211001,工程數學一,Engineering Mathematics I,3,35,0, ,,中,本系同學依分組名單選課，外系(含院學士班)同學選課前先向化工系登記分組，再依分組結果選課。,,"CHE化工 209	T3T4R3
","呂世源	LU, SHIH-YUAN
","<div>
  擋修對象 : 全校 <br>
  先修科目 : <BR><BR>微積分Ａ一-成績需D以上<BR>微積分Ｂ一-成績需D以上<BR>微積分一(數學系)-成績需D以上<BR>曾修微積分一(數學系)(基本科目免修測試)<BR>曾修微積分Ａ一(基本科目免修測試)<BR>曾修微積分Ｂ一(基本科目免修測試)<BR>微積分一-成績需D以上<BR><br>上述條件任選一科，而且<br><BR>微積分Ｂ二-成績需D以上<BR>微積分二(數學系)-成績需D以上<BR>微積分Ａ二-成績需D以上<BR>微積分二-成績需D以上<BR><br>上述條件任選一科，則不擋修。</div>",化工系大學部優先，第3次選課起開放全校修習,化學工程(第二專長)	化學工程(第一專長),,,化工系110B  必修	
11110CHE 211002,工程數學一,Engineering Mathematics I,3,35,0, ,,英,本系同學依分組名單選課，外系(含院學士班)同學選課前先向化工系登記分組，再依分組結果選課。,,"CHE化工 210	T3T4R3
","潘詠庭	PAN, YUNG-TIN
","<div>
  擋修對象 : 全校 <br>
  先修科目 : <BR><BR>微積分Ａ一-成績需D以上<BR>微積分Ｂ一-成績需D以上<BR>微積分一(數學系)-成績需D以上<BR>曾修微積分一(數學系)(基本科目免修測試)<BR>曾修微積分Ａ一(基本科目免修測試)<BR>曾修微積分Ｂ一(基本科目免修測試)<BR>微積分一-成績需D以上<BR><br>上述條件任選一科，而且<br><BR>微積分Ｂ二-成績需D以上<BR>微積分二(數學系)-成績需D以上<BR>微積分Ａ二-成績需D以上<BR>微積分二-成績需D以上<BR><br>上述條件任選一科，則不擋修。</div>",化工系大學部優先，第3次選課起開放全校修習,化學工程(第二專長)	化學工程(第一專長),,,化工系110B  必修	
